CASEID,V102,V106,V113
10060425504,0,3,0
10060425504,0,3,0
10060427502,0,0,0
10060425906,0,1,0
10060424609,0,3,0
10060289402,0,3,0
10060287904,0,1,0
10060288402,0,0,0
10060288402,0,0,0
10060283104,0,3,0
10060282004,0,1,0
10060283402,0,2,0
10060285902,0,3,0
10060285902,0,3,0
10060285202,0,1,0
10060285202,0,1,0
10060289502,0,1,1
10060108102,0,3,0
10060101404,0,1,0
10060102404,0,2,0
10060105402,0,1,1
10060246804,0,1,0
10060246804,0,1,0
10060244402,0,1,0
10060244202,0,1,0
10060246302,0,1,1
10060249402,0,0,0
10060239002,0,1,1
10060232502,0,1,1
10060235604,0,2,1
10060235004,0,2,1
10060239702,0,1,1
10060235202,0,1,1
10060237604,0,2,1
10060232302,0,1,1
10060397002,0,0,0
10060391602,0,1,1
10060185504,0,2,0
10060181702,0,1,1
10060181702,0,1,1
10060183902,0,1,0
10060184904,0,1,0
10060184904,0,1,0
10060192104,0,1,0
10060194602,0,1,1
10060197702,0,1,0
10060198603,0,3,1
10060198403,0,1,0
10060198403,0,1,0
10060190604,0,0,0
10060380402,0,1,1
10060383004,0,2,1
10060387202,0,1,1
10060385402,0,0,0
10060385402,0,0,0
10060389202,0,0,1
10060386202,0,1,0
10060382102,0,1,1
10060388302,0,1,1
10060174704,0,1,1
10060172402,0,1,1
10060179104,0,1,1
10060173202,0,1,1
10060173202,0,1,1
10060177202,0,1,1
10060174404,0,1,1
10060174202,0,1,1
10060412102,0,2,1
10060416802,0,1,0
10060418603,0,1,0
10060413403,0,1,0
10060413204,0,1,1
10060413204,0,1,1
10060418102,0,1,1
10060256502,0,2,0
10060250406,0,2,1
10060255502,0,1,0
10060257302,0,3,1
10060254004,0,1,1
10060254004,0,1,1
10060259602,0,2,0
10060256804,0,2,0
